id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
0,Abietic Acid,,,,,,,
1,Abietyl Alcohol,,,,,,,
2,Acetaldehyde,,,,,,,
3,Acetamide Mea,,,,,,,
4,Acetamidoethoxybutyl Trimonium Chloride,,,,,,,
5,Acetaminophen,,,,,,,
6,Acetaminosalol,,,,,,,
7,Acetanilid,,,,,,,
8,Acetic Acid,,,,,,,
9,Acetone,,,,,,,
10,Acetyl Cysteine,,,,,,,
11,Acetyl Glucosamine,,,,,,,
12,Acetyl Glutamic Acid,,,,,,,
13,Acetyl Glutamine,,,,,,,
14,Acetyl Hexamethyl Indan,,,,,,,
15,Acetyl Hexamethyl Tetralin,,,,,,,
16,Acetyl Methionine,,,,,,,
17,Acetyl Tyrosine,,,,,,,
18,Acetylated Sucrose Distearate,,,,,,,
19,Achillea Millefolium Oil,,,,,,,
20,Acid Black 1,,,,,,,
21,Acid Black 52,,,,,,,
22,Acid Blue 1,,,,,,,
23,Acid Blue 3,,,,,,,
24,Acid Blue 3,,,,,,,
25,Acid Blue 3,,,,,,,
26,Acid Blue 9,,,,,,,
27,Acid Blue 9,,,,,,,
28,Acid Blue 9,,,,,,,
29,Acid Blue 9,,,,,,,
30,Acid Blue 62,,,,,,,
31,Acid Blue 74,,,,,,,
32,Acid Brown 13,,,,,,,
33,Acid Green 1,,,,,,,
34,Acid Green 25,,,,,,,
35,Acid Green 50,,,,,,,
36,Acid Orange 3,,,,,,,
37,Acid Orange 6,,,,,,,
38,Acid Orange 7,,,,,,,
39,Acid Orange 24,,,,,,,
40,Acid Red 14,,,,,,,
41,Acid Red 18,,,,,,,
42,Acid Red 27,,,,,,,
43,Acid Red 33,,,,,,,
44,Acid Red 35,,,,,,,
45,Acid Red 52,,,,,,,
46,Acid Red 73,,,,,,,
47,Acid Red 92,,,,,,,
48,Acid Red 95,,,,,,,
49,Acid Red 195,,,,,,,
50,Acid Violet 9,,,,,,,
51,Acid Violet 9,,,,,,,
52,Acid Violet 43,,,,,,,
53,Acid Yellow 1,,,,,,,
54,Acid Yellow 1,,,,,,,
55,Acid Yellow 1,,,,,,,
56,Acid Yellow 1,,,,,,,
57,Acid Yellow 3,,,,,,,
58,Acid Yellow 23,,,,,,,
59,Acrylates Copolymer,,,,,,,
60,Acrylates Pvp Copolymer,,,,,,,
61,Acrylates Va Copolymer,,,,,,,
62,Adenosine,,,,,,,
63,Adenosine Phosphate,,,,,,,
64,Adenosine Triphosphate,,,,,,,
65,Adipic Acid,,,,,,,
66,Adipic Acid Dimethylaminohydroxypropyl Diethylenetriamine Copolymer,,,,,,,
67,Adipic Acid Epoxypropyl Diethylenetriamine Copolymer,,,,,,,
68,Agar,,,,,,,
69,Agarose,,,,,,,
70,Agarose,,,,,,,
71,Alanine,,,,,,,
72,Alanine,,,,,,,
73,Alanine,,,,,,,
74,Alanine Glutamate,,,,,,,
75,Alcloxa,,,,,,,
76,Alcohol,,,,,,,
77,Aldioxa,,,,,,,
78,Aleuritic Acid,,,,,,,
79,Aleuritic Acid,,,,,,,
80,Aleuritic Acid,,,,,,,
81,Aleuritic Acid,,,,,,,
82,Alginic Acid,,,,,,,
83,Alkanna Tinctoria Extract,,,,,,,
84,Allantoin,,,,,,,
85,Allantoin Acetyl Methionine,,,,,,,
86,Allantoin Ascorbate,,,,,,,
87,Allantoin Biotin,,,,,,,
88,Allantoin Calcium Pantothenate,,,,,,,
89,Allantoin Galacturonic Acid,,,,,,,
90,Allantoin Glycyrrhetinic Acid,,,,,,,
91,Allantoin Paba,,,,,,,
92,Allantoin Polygalacturonic Acid,,,,,,,
93,Allyl Caproate,,,,,,,
94,Alpha Damascone,,,,,,,
95,Alumina,,,,,,,
96,Aluminum Acetate,,,,,,,
97,Aluminum Behenate,,,,,,,
98,Aluminum Benzoate,,,,,,,
99,Aluminum Caprylate,,,,,,,
100,Aluminum Chloride,,,,,,,
101,Aluminum Chlorohydrate,,,,,,,
102,Aluminum Diacetate,,,,,,,
103,Aluminum Dichlorohydrate,,,,,,,
104,Aluminum Dichlorohydrate,,,,,,,
105,Aluminum Dilinoleate,,,,,,,
106,Aluminum Dimyristate,,,,,,,
107,Aluminum Fluoride,,,,,,,
108,Aluminum Formate,,,,,,,
109,Aluminum Glycinate,,,,,,,
110,Aluminum Glycinate,,,,,,,
111,Aluminum Glycinate,,,,,,,
112,Aluminum Glycinate,,,,,,,
113,Aluminum Hydroxide,,,,,,,
114,Aluminum Isostearate,,,,,,,
115,Aluminum Lactate,,,,,,,
116,Aluminum Methionate,,,,,,,
117,Aluminum Myristate,,,,,,,
118,Aluminum Pca,,,,,,,
119,Aluminum Sesquichlorohydrate,,,,,,,
120,Aluminum Sesquichlorohydrex Pg,,,,,,,
121,Aluminum Stearate,,,,,,,
122,Aluminum Sulfate,,,,,,,
123,Aluminum Tristearate,,,,,,,
124,Aluminum Zirconium Octachlorohydrate,,,,,,,
125,Aluminum Zirconium Pentachlorohydrate,,,,,,,
126,Aluminum Zirconium Pentachlorohydrex Gly,,,,,,,
127,Aluminum Zirconium Tetrachlorohydrate,,,,,,,
128,Aluminum Zirconium Trichlorohydrate,,,,,,,
129,4-Amino-3-Nitrophenol,,,,,,,
130,2-Aminobutanol,,,,,,,
131,2-Amino-6-Chloro-4-Nitrophenol,,,,,,,
132,5-Amino-6-Chloro-O-Cresol,,,,,,,
133,"5-Amino-2,6-Dimethoxy-3-Hydroxypyridine",,,,,,,
134,Aminoethyl Propanediol,,,,,,,
135,Aminoethyl Sulfate,,,,,,,
136,2-Amino-4-Hydroxyethylaminoanisole,,,,,,,
137,2-Amino-4-Hydroxyethylaminoanisole Sulfate,,,,,,,
138,2-Amino-3-Hydroxypyridine,,,,,,,
139,4-Amino-2-Hydroxytoluene,,,,,,,
140,4-Amino-M-Cresol,,,,,,,
141,6-Amino-M-Cresol,,,,,,,
142,Aminomethyl Propanediol,,,,,,,
143,Aminomethyl Propanol,,,,,,,
144,4-Amino-2-Nitrodiphenylamine-2'-Carboxylic Acid,,,,,,,
145,2-Amino-3-Nitrophenol,,,,,,,
146,6-Amino-O-Cresol,,,,,,,
147,3-Aminopropane Sulfonic Acid,,,,,,,
148,Aminopropyl Laurylglutamine,,,,,,,
149,Aminotrimethylene Phosphonic Acid,,,,,,,
150,Ammonia,,,,,,,
151,Ammonium Acetate,,,,,,,
152,Ammonium Alginate,,,,,,,
153,Ammonium Alum,,,,,,,
